Title,Year
Deviance from the ethical standard of reporting child sexual abuse in daily newspapers of Bangladesh,2021
"The Influence of COVID-19 Pandemic on Physical Health–Psychological Health, Physical Activity, and Overall Well-Being: The Mediating Role of Emotional Regulation",2021
Financial and Mental Health Concerns of Impoverished Urban-Dwelling Bangladeshi People During COVID-19,2021
"COVID-19 fear, stress, sleep quality and coping activities during lockdown, and personality traits: A person-centered approach analysis",2021
"An empirical investigation on university students' smartphone dependency: The role of social needs, social values, and social influences",2021
Domestic Violence Against Women in Urban Slums of Bangladesh: A Cross-Sectional Survey,2021
Effect of COVID-19 on Mental Health Rehabilitation Centers,2021
Ethical leadership in times of change: the role of change commitment and change information for employees’ dysfunctional resistance,2021
The COVID-19 pandemic and serious psychological consequences in Bangladesh: A population-based nationwide study,2021
Integrating the circular economy and industry 4.0 for sustainable development: Implications for responsible footwear production in a big data-driven world,2021
"Indicators for Sanitation Quality in Low-Income Urban Settlements: Evidence from Kenya, Ghana, and Bangladesh",2021
Early Childhood Educators as COVID Warriors: Adaptations and Responsiveness to the Pandemic Across Five Countries,2021
Masculinity and Men’s Suicide Attempts in Bangladesh,2021
"An inquiry into the achievements in health outcomes of Bangladesh: role of health expenditure, income, governance and female education",2021
HIV-sensitive social protection services in mitigating the challenges and vulnerability of the children affected by HIV/AIDS in Bangladesh: a qualitative study,2021
Well-being of children affected by HIV/AIDS in Bangladesh: a cross-sectional study,2021
Exploring the triggering factors for mental stress of university students amid COVID-19 in Bangladesh: A perception-based study,2021
The Impact of the COVID-19 Pandemic on the Mental Health of the Rickshaw-Puller in Bangladesh,2021
Online Topical Clusters Detection for Top-k Trending Topics in Twitter,2020
Deep Learning Benchmarks and Datasets for Social Media Image Classification for Disaster Response,2020
Negative emotions in fieldwork: A narrative inquiry of three EFL researchers' lived experiences,2020
Perception management of non-sewered sanitation systems towards scheduled faecal sludge emptying behaviour change intervention,2020
Mental health outcomes during the COVID-19 and perceptions towards the pandemic: Findings from a cross sectional study among Bangladeshi students,2020
Who is the Most Stressed During the COVID-19 Pandemic? Data From 26 Countries and Areas,2020
The impact of COVID-19 pandemic on mental health & wellbeing among home-quarantined Bangladeshi students: A cross-sectional pilot study,2020
Changes in Depressive Symptoms During the Antenatal Period: A Cohort Study from Bangladesh,2020
"Financial threat, hardship and distress predict depression, anxiety and stress among the unemployed youths: A Bangladeshi multi-city study",2020
Misinformation sharing and social media fatigue during COVID-19: An affordance and cognitive load perspective,2020
Marital quality in arranged and couple-initiated marriages: The role of perceived influence over partner selection,2020
Parenting stress and family resilience affect the association of adverse childhood experiences with children's mental health and attention-deficit/hyperactivity disorder,2020
Perspectives on neuropsychology and clinical care in paediatric and adolescent medicine,2020
Epidemic of COVID-19 in China and associated Psychological Problems,2020
Unusual Fluorescence Quenching-Based Al3+ Sensing by an Imidazolylpiperazine Derivative. β-Cyclodextrin Encapsulation-Assisted Augmented Sensing,2020
An assessment of anemia status of child-mother pairs in Bangladesh,2020
