Authors,Title,Year,Source title,Abstract,Author Keywords,Affiliations,Language of Original Document
"Heizomi H., Jafarabadi M.A., Kouzekanani K., Matlabi H., Bayrami M., Kumar Chattu V., Allahverdipour H.",Factors affecting aggressiveness among young teenage girls: A structural equation modeling approach,2021,"European Journal of Investigation in Health, Psychology and Education","Adolescence is a period of transition for developmental and social domains that may also be accompanied by behavioral problems. Aggressive behavior may be a mental health concern for young teens and is defined as a behavioral and emotional trait that may be distressing for others. This study aimed to understand the factors associated with aggressiveness among young teenage girls. A cross-sectional study was conducted among a sample of 707 female middle school-aged students using multistage random sampling in Tabriz, Iran. The variables of interest were aggressiveness, general health status, happiness, social acceptance, and feelings of loneliness. Structural equation modeling was employed to analyze the data. Low parental support, low satisfaction with body image, high sense of loneliness, and lower perceived social acceptance were found to be the factors influencing aggressiveness. The current study found that the school environment, home environment, individual and interpersonal factors all play a part in aggressiveness. As a result, the contributing elements must be considered when creating and executing successful interventions to improve this population’s psychological well-being. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Adolescence; Aggressive behaviors; Aggressiveness; Girls; Psychological well-being; Structural equation modeling; Young teens,"Department of Health Education & Promotion, Tabriz University of Medical Sciences, Tabriz, 14711, Iran; Department of Statistics and Epidemiology, School of Medicine, Zanjan University of Medical Sciences, Zanjan, 4513956111, Iran; Road Traffic Injury Research Center, Tabriz University of Medical Sciences, Tabriz, 14711, Iran; College of Education & Human Development, TAMUCC, 6300 Ocean Dr., Unit 5818, FC 223, Corpus Christi, TX  78412-5818, United States; Department of Psychology, Faculty of Psychology and Educational Sciences, University of Tabriz, Tabriz, 14711, Iran; Division of Occupational Medicine, Department of Medicine, Temerty Faculty of Medicine, University of Toronto, Toronto, ON  M5C 2CS, Canada; Department of Public Health, Saveetha Medical College and Hospitals, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Chennai, 600077, India; Research Center of Psychiatry and Behavioral Sciences, Tabriz University of Medical Sciences, Tabriz, 14711, Iran",English
"Radwan E., Radwan A., Radwan W., Pandey D.","Prevalence of depression, anxiety and stress during the COVID-19 pandemic: a cross-sectional study among Palestinian students (10–18 years)",2021,BMC Psychology,"Background: The COVID-19 pandemic considers a threat to students’ well-being and mental health. The current descriptive cross-sectional study aims to identify psychological distress among school students during the lockdown period. Methods: This study was carried out in a sample of 420 primary and secondary school students from June 10 to July 13, 2020, in the Gaza Strip in Palestine. Data was collected using an online questionnaire that included informed consent, socio-demographic questions, and a psychometric scale (DASS-21). Results: The results revealed that most students experienced moderate to severe levels of anxiety (89.1%) and depression (72.1%), whereas less than half of them (35.7%) experienced moderate to severe stress. Stress, anxiety and depression scores were significantly different across gender, age groups, family size, and family's economic status. The results showed that gender (β = -0.174, p < 0.001), age (β = −0.155, p = 0.001) and economic level of family (β = −0.147, p = 0.002) were negative predictors correlated with stress. Family size (β = 0.156, p = 0.001) played a positive role in stress. It was found that gender (β = −0.105, p = 0.031), age (β = −0.135, p = 0.006) and economic level of family (β = −0.136, p = 0.005) were negative predictors correlated with anxiety, whereas family size (β = 0.139, p = 0.004) played a positive role in anxiety. For depression, gender (β = −0.162, p = 0.001), age (β = −0.160, p = 0.001) and economic level of family (β = −0.131, p = 0.007) were negative predictors correlated with depression, whereas family size (β = −0.133, p = 0.006) was found to be a positive predictor. Concerns about the influence of COVID-19 on economic, education, and daily life were positively correlated to the levels of depression, anxiety and stress, whereas the availability of social support was negatively correlated. Conclusion: The development of a health protocol for influenced students is urgently needed to maintain them remain resilient during dangerous times. © 2021, The Author(s).",Anxiety; COVID-19; DASS-21 scale; Depression; Gaza Strip; Palestine; Stress,"Department of Biology, Faculty of Science, Islamic University of Gaza, Gaza Strip, Palestine; Directorate of Education-East Gaza, Ministry of Education and Higher Education, Gaza Strip, Palestine; Faculty of Education, Islamic University of Gaza, Gaza Strip, Palestine; Faculty of Education, Ummah Open University, Gaza Strip, Palestine; Department of Technical Education, Dr. A.P.J. Abdul, Kalam Technical University Uttar Pradesh, Lucknow, India",English
"Kumar V., Klanidhi K.B.K., Chakrawarty A., Singh J., Priti, Chatterjee P., Dey A.B.","Assessment of ental health issues among geriatric population during COVID19 pandemic, Indian perspective",2021,Asian Journal of Psychiatry,"Objectives: Study was aimed to assess magnitude of mental health problems among geriatric population during COVID19 pandemic. Methodology: Study was a cross-sectional observational study, total of 106 participants (Age ≥60 years) of either gender included in study. Mental health variables depressive and anxiety were assessed using GDS and HAM-A. Results: On GDS, 20(18.87%) patients had depressive symptoms and on HAM-A, 24(22.6%) patients were having anxiety symptoms. Conclusion: Study highlight that Geriatric population have significant mental health issues during COVID19 pandemic, it should not be overlooked. It's necessary to provide elderly psychological intervention measures to improve their wellbeing. © 2021 Elsevier B.V.",Anxiety; COVID19; Depression; Elderly; Geriatric,"Department of Geriatric Medicine, All India Institute of Medical Sciences (AIIMS), New Delhi, India; Department of Psychiatry & NDDTC, AIIMS, New Delhi, India",English
"Sharratt K., Panicker A., Banerjee R., Mason S.J., Jones A., Varma B., Patil P., Wager N.",Profiles of abuse and neglect and the association with mental health indicators among a large sample of boys and girls from India,2021,Child Abuse and Neglect,"Background: Child abuse and neglect (CAN) is a major public health concern, but limited data are available on the occurrence, co-occurrence, and correlates of these phenomena outside Western societies. Objectives: The first aim of this study was to establish the prevalence of CAN across two settings (inside and outside the home) among children and adolescents in Mumbai, India. Another aim was to use latent class analysis (LCA) to identify meaningful profiles of maltreatment, and to examine how class membership is associated with mental wellbeing. Participants and setting: Self-report data was collected from males (n = 4454; M age = 12.77 years) and females (n = 3850; M age = 12.87) at secondary schools. Results: Four latent classes of maltreatment were identified among males, including ‘low victimisation’ (50.4% of participants), ‘intra-familial non-sexual abuse’ (34.6%), ‘intra- and extra- familial non-sexual abuse’ (10.2%), and ‘poly-victimisation’ (4.8%). Among females, three latent classes were identified including, ‘low victimisation’ (68.1%), ‘intra-familial non-sexual abuse’ (28.8%), and ‘poly-victimisation’ (3.0%). Compared to the ‘low victimisation’ class, children in the abuse classes demonstrated higher levels of anxiety and depression and increased odds of self-injurious thoughts and behaviours. These associations were augmented for girls relative to boys. Conclusion: There were very few maltreated children who were subjected to just one form of CAN and experiencing co-occurring patterns of abuse and neglect was associated with indicators of poor mental health, especially among girls. These findings highlight the complexity of the situation and will inform policy makers, health professionals and school counsellors. © 2021",Anxiety; Child abuse and neglect (CAN); Depression; Latent class analysis (LCA); Non-suicidal self-injury (NSSI); Suicide,"University of Huddersfield, Huddersfield, United Kingdom; Idealists Consulting, Mumbai, India",English
"Malik K., Ibrahim M., Bernstein A., Venkatesh R.K., Rai T., Chorpita B., Patel V.",Behavioral Activation as an ‘active ingredient’ of interventions addressing depression and anxiety among young people: a systematic review and evidence synthesis,2021,BMC Psychology,"Background: Psychological interventions such as behavioral activation (BA) that focus on overt behaviors rather than complex cognitive skills may be developmentally well-suited to address youth mental health problems. The current systematic review synthesized evidence on the characteristics, effectiveness and acceptability of behavioral activation (BA) to examine its role as a potential ‘active ingredient’ for alleviating depression and anxiety among young people aged 14 to 24 years. Methods: Evidence across the following sources were synthesized: (i) randomized control trials (RCT) evaluating interventions where BA has been used as a standalone intervention or as part of a multicomponent intervention, (ii) qualitative studies examining the acceptability of BA as an intervention or as a coping strategy among young people with lived experiences. Consultations with a youth advisory group (YAG) from India were used to draw inferences from existing evidence and identify future research priorities. Results: As part of the review, 23 RCTs were identified; three studies examined BA as a standalone intervention, and the remaining studies examined multicomponent intervention where BA was a constituent element. The intervention protocols varied in composition, with the number of intervention elements ranging between 5 to 18. There was promising but limited evidence in standalone interventions for thse effectiveness of BA for depression. The impact of BA in multicomponent interventions was difficult to evaluate in the absence of focal assessment of activation outcomes. Evidence from 37 additional qualitative studies of youth lived experience literature, corroborated by the YAG inputs, indicated that young people preferred using behavioral strategies similar to BA to cope with depression in their own life. Themes indicated that the activities that are important to an individual and their socio-contextual factors need to be considered in the planning and implementing BA intervention. Evidence for the use of BA in anxiety was limited across data sources. Conclusions: Overall, there was preliminary empirical evidence for the effectiveness and acceptability of BA for youth depression. Further research is needed to examine the components and mechanisms that contribute to its effectiveness as an active intervention ingredient for depression and anxiety. © 2021, The Author(s).",Active ingredient; Behavioral activation; Lived experience; Systematic review; Transdiagnostic; Youth mental health,"Sangath, New Delhi, India; Jindal School of Psychology and Counselling, O.P. Jindal Global University, Sonepat, Haryana, India; PracticeWise, LLC, Satellite Beach, United States; Department of Psychology, Ashoka University, Sonepat, Haryana, India; Department of Psychology, University of California, Los Angeles, United States; Department of Global Health and Social Medicine, Harvard Medical School, Boston, United States; Harvard TH Chan School of Public Health, Boston, United States",English
"Suchandra H.H., Bhaskaran A.S., Manjunatha N., Kumar C.N., Bada Math S., Reddi V.S.K.",Suicide prevention in the context of COVID-19: An Indian perspective,2021,Asian Journal of Psychiatry,"The ongoing COVID-19 pandemic has impacted the health and wellbeing of communities worldwide. Measures to limit transmission, have enhanced vulnerability of individuals to well identified risk factors associated with mental illness and suicide. These include a sense of loneliness, anxiety, depression, insomnia, PTSD, harmful alcohol and drug use. Given that the potential for increased rates of suicide persist, the suicide prevention agenda remains urgent and essential. The same is one of the cornerstones of resilience in a society that is facing an array of challenges due to the pandemic. In this article, we recommend few possible strategies for attenuating suicide risk amidst the COVID-19 pandemic with particular relevance to the Indian context. © 2021 Elsevier B.V.",COVID-19; Policy recommendations; Suicide and pandemic; Suicide prevention; Suicide prevention during pandemic,"Department of Psychiatry, National Institute of Mental Health and Neuro Sciences, Bangalore, Karnataka, India",English
"Kogan C.S., Maj M., Rebello T.J., Keeley J.W., Kulygina M., Matsumoto C., Robles R., Huang J., Zhong N., Chakrabarti S., Figueira M.L., Stein D.J., Strakowski S.M., Garcia-Pacheco J.A., Burns S., Montoya M., Andrade L., Ayuso-Mateos J.L., Arango I., Balhara Y.P.S., Bryant R., Cournos F., Porto J.A.D., Meyer T.D., Medina-Mora M.-E., Gureje O., First M.B., Gaebel W., Khoury B., Krasnov V.N., de Jesus Mari J., Maruta T., Pike K.M., Roberts M.C., Sharan P., Zhao M., Reed G.M.",A global field study of the international classification of diseases (ICD-11) mood disorders clinical descriptions and diagnostic guidelines,2021,Journal of Affective Disorders,"Background: We report results of an internet-based field study evaluating the diagnostic guidelines for ICD-11 mood disorders. Accuracy of clinicians’ diagnostic judgments applying draft ICD-11 as compared to the ICD-10 guidelines to standardized case vignettes was assessed as well as perceived clinical utility. Methods: 1357 clinician members of the World Health Organization's Global Clinical Practice Network completed the study in English, Spanish, Japanese or Russian. Participants were randomly assigned to apply ICD-11 or ICD-10 guidelines to one of eleven pairs of case vignettes. Results: Clinicians using the ICD-11 and ICD-10 guidelines achieved similar levels of accuracy in diagnosing mood disorders depicted in vignettes. Those using the ICD-11 were more accurate in identifying depressive episode in recurrent depressive disorder. There were no statistically significant differences detected across classifications in the accuracy of identifying dysthymic or cyclothymic disorder. Circumscribed problems with the proposed ICD-11 guidelines were identified including difficulties differentiating bipolar type I from bipolar type II disorder and applying revised severity ratings to depressive episodes. Clinical utility of ICD-11 bipolar disorders was found to be significantly lower than for ICD-10 equivalent categories. Limitations: Standardized case vignettes were manipulated to evaluate specific changes. The degree of accuracy of clinicians’ diagnostic judgments may not reflect clinical decision-making with patients. Conclusions: Alignment of the ICD-11 with current research appears to have been achieved without sacrificing diagnostic accuracy or clinical utility though specific training may be necessary as ICD-11 is implemented worldwide. Areas in which the ICD-11 guidelines did not perform as intended resulted in further revisions. © 2021",Classification; Diagnosis; ICD-10; ICD-11; International Classification of Diseases (ICD); Mood disorders,"School of Psychology, University of Ottawa, 136 Jean-Jacques Lussier Pvt., Vanier Building, Ottawa, Ontario  K1N 6N5, Canada; Department of Psychiatry, University of Campania “L. Vanvitelli”, Naples, Italy; Global Mental Health Program, Columbia University and New York State Psychiatric Institute, 1051 Riverside Drive, New York, NY  10032, United States; Department of Psychology, Virginia Commonwealth University, 800 W. Franklin Street, P.O. Box 842018, Richmond, VA  23284-2018, United States; Moscow Research Institute of Psychiatry, Poteshnaya 3Moscow  107076, Russian Federation; National Study Coordinator for ICD-11 Field Studies, ICD-11 Committee, Japanese Society of Psychiatry and Neurology, Hongo-Yumicho Building, 2-38-4, Hongo, Bunkyo-ku, Tokyo  113-0033, Japan; Instituto Nacional de Psiquiatría ‘Ramón de la Fuente’, WHO Collaborating Centre on Addictions and Mental Health, Tlalpan, Calzada Mexico-Xochimilco 101ZC 14370Ciudad de México, Mexico; Shanghai Mental Health Center, Shanghai Jiao Tong University School of Medicine, WHO Collaborating Centre for Research and Training in Mental Health, 600 Wan Ping Nan Rd.Shanghai  200030, China; Dept. Of Psychiatry, Postgraduate Institute of Medical Education & Research (PGIMER), Chandigarh, – 160012, India; Department of Psychiatry, Faculty of Medicine, University of Lisbon, Lisboa Codex, 1699, Portugal; Department of Psychiatry, University of Cape Town and Groote Schuur Hospital, J-BlockAnzio Road, Observatory, 7925, South Africa; Dell Medical School, University of Texas at Austin, Health Learning Building, 1501 Red River St., Austin, TX  78712, United States; Centro de Investigación y Docencia Económica, Carr. México-Toluca 3655, Santa Fe, Altavista, Álvaro Obregón, Ciudad de México  01210, Mexico; Institute of Psychiatry, School of Medicine, University of São Paulo, Av. Dr. Arnaldo, 455 - Cerqueira César, São Paulo, 01246903, Brazil; Department of Psychiatry, Universidad Autonoma de Madrid, Instituto de Salud Carlos III, Centro de Investigación Biomédica en Red de Salud Mental (CIBERSAM), Instituto de Investigación Sanitaria La Princesa, Madrid, Spain; National Drug Dependence Treatment Center and Department of Psychiatry, All India Institute of Medical Sciences, Ansari Nagar, New Delhi  110029, India; School of Psychology, UNSW Sydney, NSW2052, Australia; Departments of Epidemiology and Psychiatry, Columbia University Medical Center, 722 West 168th St, New York, NY  10032, United States; Department of Psychiatry, Universidade Federal de São Paulo, Rua Borges Lagoa 570 - 1° andar, Vila Clementino- São Paulo-SP, 04038-000, Brazil; Faillace Department of Psychiatry & Behavioral Sciences, McGovern Medical School, University of Texas HSC at Houston, 1941 East Road, Houston, TX  77054, United States; Department of Psychiatry, University of Ibadan, WHO Collaborating Centre for Research and Training in Mental Health, Neurosciences and Drug and Alcohol Abuse, University College Hospital, PMB, 5116 Ibadan, Nigeria; Department of Psychiatry, Columbia University Medical Center and New York State Psychiatric Institute, 722 West 168th St, New York, NY  10032, United States; Department of Psychiatry and Psychotherapy, Medical Faculty, Heinrich-Heine University, WHO Collaborating Centre for Quality Assurance and Empowerment in Mental Health, Bergische Landstr. 2, Düsseldorf, 40629, Germany; Department of Psychiatry, American University of Beirut Medical Center, P.O. Box 11-0236 - Riad El Solh, Beirut, 1107 2020, Lebanon; The Health Management Center, Seitoku University, 550 Iwase, Matsudo City, Chiba Prefecture  271-8555, Japan; University of Kansas, Clinical Child Psychology Program, Dole Human Development Center, Lawrence, KS  66045, United States; Department of Psychiatry, All India Institute of Medical Sciences, Ansari Nagar, New Delhi  110029, India; Department of Psychiatry, Columbia University Vagelos College of Physicians and Surgeons, and Department of Mental Health and Substance Abuse, World Health Organization, Geneva, NY, Switzerland",English
"Verma A., Jain A., Srinivasan N.",Yes! I love my mother as much as myself: Self- and mother-association effects in an Indian sample,2021,Quarterly Journal of Experimental Psychology,"Information associated with the self is preferentially processed compared to information associated with others. However, cultural differences appear to exist in the way information is processed about those close to us like our mothers. In Eastern compared with Western cultures, information about the mother seems to be processed as well as our self. However, it is not clear whether this lack of difference is due to familiarity or would extend to processing arbitrary perceptual information associated with different categorical labels. The current study employs a perceptual association paradigm in which category labels like self, mother, and none are associated with arbitrary shapes to study self versus mother processing in an Indian sample. We hypothesised that there would be no difference between self and mother processing given the familial and collectivistic tendencies in India. Participants in two experiments performed a matching task between a shape and a pre-assigned category label, with self, mother, and none as categories in Experiment 1A and self, friend, and none as categories in Experiment 1B. As expected, analysis of response times (RT), accuracies, and signal detection theoretic measures showed that information about mother is processed as well as self in Experiment 1A, but this effect is not present with friend in Experiment 1B. Moreover, participants’ processing for the self-associated information gets attenuated depending upon the other close person category used in the task (friend vs. mother) indicating that self-information processing is dynamically dependent on the categorical contexts in which such processing takes place. Our findings have implications for understanding the processing of self-associated information across cultures and contexts. © Experimental Psychology Society 2021.",cultural variation; mother-reference; perceptual matching; Self-reference; social salience,"Department of Cognitive Science, Indian Institute of Technology Kanpur, Kanpur, India",English
"Allen J.G., Romate J., Rajkumar E.",Mindfulness-based positive psychology interventions: a systematic review,2021,BMC Psychology,"Background: There are hundreds of mindfulness-based interventions in the form of structured and unstructured therapies, trainings, and meditation programs, mostly utilized in a clinical rather than a well-being perspective. The number of empirical studies on positive potentials of mindfulness is comparatively less, and their known status in academia is ambiguous. Hence, the current paper aimed to review the studies where mindfulness-based interventions had integrated positive psychology variables, in order to produce positive functioning. Methods: Data were obtained from the databases of PubMed, Scopus, and PsycNet and manual search in Google Scholar. From the 3831 articles, irrelevant or inaccessible studies were eliminated, reducing the number of final articles chosen for review to 21. Interventions that contribute to enhancement of eudaimonia, hedonia, and other positive variables are discussed. Results: Findings include the potential positive qualities of MBIs in producing specific positive outcomes within limited circumstances, and ascendancy of hedonia and other positive variables over eudaimonic enhancement. Conclusion: In conclusion, exigency of modifications in the existing MBIs to bring about exclusively positive outcomes was identified, and observed the necessity of novel interventions for eudaimonic enhancement and elevation of hedonia in a comprehensive manner. © 2021, The Author(s).",Eudaimonia; Hedonia; MBI; Mindfulness; Well-being,"Department of Psychology, School of Social and Behavioral Sciences, Central University of Karnataka, Kalaburagi, India",English
"Kaur S., Mir R.N., Khamparia A., Rani P., Gupta D., Khanna A.",Heterogeneous load balancing clustering protocol for Wireless Sensor Networks,2021,Cognitive Systems Research,"Wireless Sensor Networks is one of the most significant area of research where large number of sensor nodes that are distributed in a geographical area operate on limited battery power. As these networks, depending on the application, are sometimes deployed in in-hostile environment, which makes energy conservation one of the major challenge faced in WSN. To reduce energy consumption, clustering is considered to be the most efficient technique. This work proposes a new clustering approach that decreases energy consumption and results in prolonged network lifetime which is an important requirement for networks operating in inaccessible areas. In the proposed approach, heterogeneity is also implemented to increase the stability and energy efficiency of random networks. We have evaluated the efficiency of the proposed protocol through simulations and comparison is performed with well-known existing distributed protocols. Proposed approach shows efficient results in terms of the stability period for different network configurations and Base Station positions. Also, the results are found better in terms of number of alive nodes and network lifetime. © 2021 Elsevier B.V.",Clustering; Heterogeneity; Probabilistic clustering; Wireless Sensor Networks,"Department of Computer Science and Engineering, Lovely Professional University, Punjab, India; National Institute of Technology, Srinagar, India; Babasaheb Bhimrao Ambedkar University, Satellite Centre, Tikarmafi, Amethi, India; Division of Computer Engineering, Netaji Subash University of Technology, New Delhi, India; Maharaja Agrasen Institute of Technology, New Delhi, India",English
