Title,Year
Factors affecting aggressiveness among young teenage girls: A structural equation modeling approach,2021
"Prevalence of depression, anxiety and stress during the COVID-19 pandemic: a cross-sectional study among Palestinian students (10–18 years)",2021
"Assessment of ental health issues among geriatric population during COVID19 pandemic, Indian perspective",2021
Profiles of abuse and neglect and the association with mental health indicators among a large sample of boys and girls from India,2021
Behavioral Activation as an ‘active ingredient’ of interventions addressing depression and anxiety among young people: a systematic review and evidence synthesis,2021
Suicide prevention in the context of COVID-19: An Indian perspective,2021
A global field study of the international classification of diseases (ICD-11) mood disorders clinical descriptions and diagnostic guidelines,2021
Yes! I love my mother as much as myself: Self- and mother-association effects in an Indian sample,2021
Mindfulness-based positive psychology interventions: a systematic review,2021
Heterogeneous load balancing clustering protocol for Wireless Sensor Networks,2021
Can use of pictograms reduce liquid medication administration errors by mothers? An interventional study,2021
Measurement invariance of the Phubbing Scale across 20 countries,2021
Anxiety and depressive symptoms in pregnancy predict low birth weight differentially in male and female infants—findings from an urban pregnancy cohort in India,2021
Association of self-perceived income status with psychological distress and subjective well-being: a cross-sectional study among older adults in India,2021
Exploring the Impact of a Character Strengths Intervention on Well-Being in Indian Classrooms,2021
A Liberating Experience. On Becoming a Work of Art,2021
Understanding mindfulness outcomes: a moderated mediation analysis of high-performance work systems,2021
The Mediating Role of Psychological Empowerment in the Relationship Between Transformational Leadership and Organizational Identification of Employees,2021
“I Just Find It Easier to Let Go of Anger”: Reflections on the Ways in Which Yoga Influences How Young People Manage Their Emotions,2021
Communication apprehension and psychological well-being of students in online learning,2021
"Afghanistan: Decades of collective trauma, ongoing humanitarian crises, Taliban rulers, and mental health of the displaced population",2021
Impact of self-brand connection on willingness to pay premium: Relevant mediators and moderators,2021
Why retail investors traded equity during the pandemic? An application of artificial neural networks to examine behavioral biases,2021
Caregiver Burden and Disability in Somatoform Disorder: An Exploratory Study,2021
Is the preference of the majority representative ?,2021
"The dark side of social media: Stalking, online self-disclosure and problematic sleep",2021
Stress management training and gratitude journaling in the classroom: an initial investigation in Indian context,2021
"Hindi Translation and Validation of Scales for Subjective Well-being, Locus of Control and Spiritual Well-being",2021
The nexus between emotional intelligence and types of knowledge sharing: does work experience matter?,2021
Understanding and modelling risky driving behaviour on high-speed corridors,2021
Big data and firm marketing performance: Findings from knowledge-based view,2021
Parental consanguinity among patients with schizophrenia in a rural community of South India: A clinical and genetic investigation,2021
Developing a new framework for conceptualizing the emerging sustainable community-based tourism using an extended interval-valued Pythagorean fuzzy SWARA-MULTIMOORA,2021
Fear vs. hope in India: Finding the silver lining amid the dark clouds of COVID-19,2021
Psychosocial interventions for self-harm in low-income and middle-income countries: systematic review and theory of change,2021
Career Aspirations Among Youth in Manipur: Studying the Barriers to Aspiration in a Conflict Region,2021
Advaita: Oneness as a Lived Reality—Examining Aspects of Profound and a Radical Psychology,2021
A unique case of neurofibromatosis 1 (NF1) with Cotard syndrome - A case report,2021
Maintenance and Welfare of Parents and Senior Citizens Act 2007: A Critical Appraisal,2021
Bhāvyātrā (Walking Pilgrimages): Insights for Self-development Through Service,2021
"‘Searching for Roots’: Exploring the Idea of Home in Tibetan Refugee Youth Living in Delhi, India",2021
"The Limitations of Quasi-Experimental Studies, and Methods for Data Analysis When a Quasi-Experimental Research Design Is Unavoidable",2021
Probabilistic network values,2021
"Do malnutrition, pre-existing morbidities, and poor household environmental conditions aggravate susceptibility to Coronavirus disease (COVID-19)? A study on under-five children in India",2021
Living with Barren Truths: A Tale of Triumphalism and Tribulations of a Technology,2021
Challenges of the Caregivers in Managing a Child with Autism Spectrum Disorder— A Qualitative Analysis,2021
"The Influence of Sex and Culture on the Longitudinal Associations of Peer Attachment, Social Preference Goals, and Adolescents’ Cyberbullying Involvement: An Ecological Perspective",2021
Non-deceptive counterfeit purchase behavior of luxury fashion products,2021
Can we anti-consume our way to sustainability? Finding answers at the intersection of cultural values,2021
An Exploratory Analysis of Collective Patterns of Conscious Experience Using a Self-Report Questionnaire,2021
Emotional labour in the lifeworld of indian hospitality employees: A phenomenological inquiry,2021
Instruction in second language enhances linguistic and cognitive abilities in first language as well: evidence from public school education in Nepal,2021
"Socio-demographic and clinical characteristics of patients admitted at the Lunatic Asylum, Bengaluru (now NIMHANS) and treatment outcome in the early 20th century (1903–1911)",2021
Yoga therapy for Obsessive Compulsive Disorder (OCD): A case series from India,2021
A sleep and self-control model of cyber incivility at work,2021
Impact of Societal Culture on Covid-19 Morbidity and Mortality across Countries,2021
"Sustainable economic development in India: The dynamics between financial inclusion, ICT development, and economic growth",2021
The adoption of solar photovoltaic technology among Indian households: Examining the influence of entrepreneurship,2021
A Multilevel Analysis of Factors Associated with Malnutrition among Tribal Children in India: Evidence from National Family Health Survey 2015-16,2021
I see how you feel: How the dark triad recognizes emotions,2021
"Homicide by Multiple Fatal Methods: A Study From South Delhi, India",2021
Applying the S-ART Framework to Yoga: Exploring the Self-Regulatory Action of Yoga Practice in Two Culturally Diverse Samples,2021
