Country,Institution,Number of Publications
India,National Institute of Mental Health and Neurosciences,164
India,"All India Institute of Medical Sciences, New Delhi",50
India,University of Delhi,46
India,Indian Institute of Technology Delhi,41
India,"Postgraduate Institute of Medical Education & Research, Chandigarh",37
Bangladesh,University of Dhaka,20
Sri Lanka,University of Colombo,14
Sri Lanka,University of Peradeniya,10
Bangladesh,International Centre for Diarrhoreal Disease Research Bangladesh,9
Bangladesh,Jahangirnagar University,9
Bangladesh,University of Chittagong,8
Nepal,Tribhuvan University,8
Bangladesh,Bangladesh Rural Advancement Committee,5
Sri Lanka,University of Ruhuna,4
Sri Lanka,University of Keleniya,4
Sri Lanka ,"Faculty of Medicine, University of Peradeniya",4
Nepal,University of Johannesburg,3
Nepal,John Hopkins Bloomberg School of Public Health,3
Nepal,Universitetet i Bergen,3
Nepal ,Tribhuvan University Teaching Hospital,3
Bhutan,Royal University of Bhutan,1
Afghanistan,Terres Hommes Foundation,1
Afghanistan,Jawahar Lal Nehru Memorial Hospital,1
Afghanistan,GIFT University,1
Afghanistan,University of Herat,1
Afghanistan,Iqra National University,1
